Cancer,External cohort,Method,C-index,95% CI
LUAD,GSE31210,MKG,0.615,0.506-0.719
LUAD,GSE31210,Uni-Cox,0.653,0.552-0.751
LUAD,GSE31210,Cox-Lasso,0.625,0.532-0.719
LUAD,GSE31210,Cox-EN,0.620,0.531-0.714
LUAD,GSE31210,RSF,0.508,0.403-0.609
LUAD,GSE31210,CGBoost,0.448,0.340-0.559
LIHC,GSE14520,MKG,0.676,0.615-0.734
LIHC,GSE14520,Uni-Cox,0.609,0.548-0.669
LIHC,GSE14520,Cox-Lasso,0.516,0.457-0.581
LIHC,GSE14520,Cox-EN,0.514,0.453-0.577
LIHC,GSE14520,RSF,0.526,0.465-0.584
LIHC,GSE14520,CGBoost,0.636,0.578-0.695
KIRC,GSE29609,MKG,0.280,0.157-0.427
KIRC,GSE29609,Uni-Cox,0.425,0.293-0.567
KIRC,GSE29609,Cox-Lasso,0.562,0.406-0.718
KIRC,GSE29609,Cox-EN,0.554,0.388-0.724
KIRC,GSE29609,RSF,0.375,0.248-0.506
KIRC,GSE29609,CGBoost,0.442,0.294-0.583
COAD,GSE39582,MKG,0.537,0.492-0.581
COAD,GSE39582,Uni-Cox,0.512,0.467-0.558
COAD,GSE39582,Cox-Lasso,0.502,0.460-0.546
COAD,GSE39582,Cox-EN,0.500,0.455-0.546
COAD,GSE39582,RSF,0.510,0.463-0.557
COAD,GSE39582,CGBoost,0.497,0.451-0.542
STAD,GSE84437,MKG,0.544,0.504-0.583
STAD,GSE84437,Uni-Cox,0.552,0.511-0.593
STAD,GSE84437,Cox-Lasso,0.525,0.486-0.566
STAD,GSE84437,Cox-EN,0.524,0.484-0.567
STAD,GSE84437,RSF,0.479,0.436-0.518
STAD,GSE84437,CGBoost,0.545,0.505-0.586
HNSC,GSE65858,MKG,0.534,0.467-0.602
HNSC,GSE65858,Uni-Cox,0.537,0.472-0.603
HNSC,GSE65858,Cox-Lasso,0.547,0.481-0.615
HNSC,GSE65858,Cox-EN,0.523,0.458-0.588
HNSC,GSE65858,RSF,0.539,0.477-0.604
HNSC,GSE65858,CGBoost,0.501,0.431-0.572

