Cancer,Method,External n,Shared genes,Jaccard,RBO,TCGA genes found in external
LUAD,MKG,226,0,0.0000,0.0000,14
LUAD,Cox-Lasso,226,0,0.0000,0.0000,17
LIHC,MKG,221,2,0.0571,0.0725,17
LIHC,Cox-Lasso,221,1,0.0345,0.0000,10
KIRC,MKG,39,1,0.0278,0.0137,17
KIRC,Cox-Lasso,39,0,0.0000,0.0000,17
COAD,MKG,573,0,0.0000,0.0000,17
COAD,Cox-Lasso,573,1,0.0278,0.0000,17
STAD,MKG,431,0,0.0000,0.0000,19
STAD,Cox-Lasso,431,0,0.0000,0.0000,19
HNSC,MKG,270,0,0.0000,0.0000,20
HNSC,Cox-Lasso,270,1,0.0286,0.0068,16
Mean,MKG,-,-,0.0142,-,wins=2/6
Mean,Cox-Lasso,-,-,0.0152,-,-

