,normalized_RBO20,normalized_RBO20,Jaccard,Jaccard
,mean,std,mean,std
Method,,,,
MKG,0.2875115477484643,0.0822100661689891,0.23014887150675503,0.04500205592592092
Uni-Cox,0.2628117477498561,0.0504995019138819,0.24149755587281588,0.06278566493515042
CGBoost,0.22243419545422136,0.039067030423968495,0.1874803313909131,0.02090889528310563
Cox-EN,0.21570274252794086,0.0364439159595825,0.1585243107853798,0.024222047608223607
Cox-Lasso,0.13842590771646465,0.031173124552728144,0.1120503449495008,0.017957168046956275
RSF,0.1040146901047686,0.03520824166039334,0.07960857616634036,0.023556112551358442

