Cancer,Method,c_index,km_p,auc_1y
LUAD,MKG,0.7029740481151733,1.2609003646889482e-09,0.7419153168513781
LUAD,GR-SAFS_coexpr,0.6999972938597678,1.7577244566524e-10,0.7365728900255755
LUAD,MKG_equal,0.7030281709198171,1.2609003646889482e-09,0.7419721511793123
LUAD,Cox-Lasso,0.7761751413958271,6.86440355967672e-21,0.8244387610116511
LUAD,Cox-EN,0.7691391767921414,2.94278909995408e-16,0.8221653878942881
LUAD,Uni-Cox,0.6928530836467945,1.2734992150499434e-09,0.7262290423415743
LUAD,RSF,0.6483370768273212,6.150012436824805e-07,0.7130434782608696
LUAD,DeepSurv,0.7676237382621167,4.3504910474731885e-20,0.7935208866155157
LIHC,MKG,0.7611912131048539,2.735628502106154e-13,0.8360509115927073
LIHC,GR-SAFS_coexpr,0.7611912131048539,2.735628502106154e-13,0.8360509115927073
LIHC,MKG_equal,0.7527364686344078,2.158724371520645e-11,0.824905400756794
LIHC,Cox-Lasso,0.7315996074582924,6.089236359336666e-08,0.7670450636394908
LIHC,Cox-EN,0.7338642711557334,2.486133282696958e-11,0.77406260749914
LIHC,Uni-Cox,0.7134445534838076,4.862551274061429e-08,0.7819057447540421
LIHC,RSF,0.6864195666943459,2.3570148197262003e-07,0.731062951496388
LIHC,DeepSurv,0.7105759794670491,2.636364644012071e-10,0.7347781217750259
KIRC,MKG,0.8039034411915768,1.0998987746664347e-13,0.8625853336269544
KIRC,GR-SAFS_coexpr,0.8039034411915768,1.0998987746664347e-13,0.8625853336269544
KIRC,MKG_equal,0.7889573703133025,4.4377464844128866e-12,0.8308742567716362
KIRC,Cox-Lasso,0.8379558294812532,2.9735614527103282e-22,0.884606914776481
KIRC,Cox-EN,0.810220852593734,1.0788386119099059e-14,0.8654481391763928
KIRC,Uni-Cox,0.7296353364149974,1.2602479206809761e-11,0.7412464214930633
KIRC,RSF,0.7025166923472008,3.30410173582252e-08,0.7218674300814799
KIRC,DeepSurv,0.8199280945043657,2.4094640412589922e-20,0.8720546135212508
COAD,MKG,0.7756754120745147,1.330732828345237e-07,0.815742397137746
COAD,GR-SAFS_coexpr,0.7741148932019897,2.1418541492903544e-08,0.8182468694096601
COAD,MKG_equal,0.7757729445040475,1.330732828345237e-07,0.8159212880143112
COAD,Cox-Lasso,0.8761338144933191,1.0365830778399127e-13,0.9649373881932022
COAD,Cox-EN,0.8349751292304691,1.1267611227666124e-11,0.9046511627906978
COAD,Uni-Cox,0.7625085340875841,2.8296209533194235e-08,0.7967799642218246
COAD,RSF,0.6124061250365747,0.030751778247908004,0.6280858676207514
COAD,DeepSurv,0.5,1.0,0.5
STAD,MKG,0.7071585650047593,2.886004532250981e-08,0.7454269183566127
STAD,GR-SAFS_coexpr,0.7006597301998884,9.297619371801404e-08,0.7422126117702063
STAD,MKG_equal,0.703679390816293,1.8910787727069557e-09,0.7464788732394366
STAD,Cox-Lasso,0.6957363704992287,8.005511109724385e-09,0.6958097130500847
STAD,Cox-EN,0.721895821708734,1.5799527638908806e-14,0.7225761206241599
STAD,Uni-Cox,0.6770276036367217,5.504998022632751e-07,0.7070890070714745
STAD,RSF,0.6042603472609709,0.0005266053994048609,0.6021857284787563
STAD,DeepSurv,0.7042701939803722,2.842605726447934e-12,0.7212903979895974
HNSC,MKG,0.6991668509916685,4.1856295587546594e-12,0.7350396647208501
HNSC,GR-SAFS_coexpr,0.6991815969918159,7.111287854445713e-15,0.7361472833408171
HNSC,MKG_equal,0.6936665929366659,8.622830470915599e-13,0.7311779673701542
HNSC,Cox-Lasso,0.6464056624640566,5.108770937797633e-07,0.696722047597665
HNSC,Cox-EN,0.6585268745852687,6.612703490948136e-13,0.683849723095345
HNSC,Uni-Cox,0.6785666887856668,8.510841126111579e-13,0.7086064960335279
HNSC,RSF,0.5951633119516331,0.0003233664062913196,0.6095794042807964
HNSC,DeepSurv,0.5,1.0,0.5

